Baseline 100%T,,IRRAD BUDAPEST J4 0.4dpa POST VDG,,
Wavelength (nm),%T,Wavelength (nm),%T,
3176,99.99688721,3093.291992,87.76513672,
3175,100.0618896,3091.625,87.72650146,
3174,100.1143723,3089.958008,87.7485199,
3173,100.0899887,3088.291016,87.71844482,
3172,100.1073456,3086.624023,87.76192474,
3171,100.104866,3084.957031,87.72104645,
3170,100.0766373,3083.290039,87.75167847,
3169,100.0458145,3081.623047,87.70167542,
3168,100.1107101,3079.956055,87.71736908,
3167,100.1324539,3078.289063,87.69554138,
3166,100.1536407,3076.62207,87.72543335,
3165,100.0731583,3074.955078,87.69284821,
3164,100.0330811,3073.288086,87.68431091,
3163,100.1751785,3071.621094,87.69390106,
3162,100.2285385,3069.954102,87.68810272,
3161,100.1890182,3068.287109,87.70137787,
3160,100.0787735,3066.619873,87.68598175,
3159,100.1512985,3064.952881,87.6783905,
3158,100.208786,3063.285889,87.66416931,
3157,100.1785049,3061.618896,87.6782074,
3156,100.1485443,3059.951904,87.67196655,
3155,100.1691818,3058.284912,87.64919281,
3154,100.2497406,3056.61792,87.65130615,
3153,100.2337341,3054.950928,87.63613129,
3152,100.1630936,3053.283936,87.65156555,
3151,100.2227402,3051.616943,87.64713287,
3150,100.2265244,3049.949951,87.64157104,
3149,100.2001801,3048.282959,87.63605499,
3148,100.1781845,3046.615967,87.62359619,
3147,100.2362518,3044.948975,87.61483765,
3146,100.2259598,3043.281982,87.61487579,
3145,100.2067108,3041.61499,87.61291504,
3144,100.1097946,3039.947998,87.60446167,
3143,100.2139359,3038.281006,87.60575867,
3142,100.2513428,3036.614014,87.58470154,
3141,100.1998215,3034.947021,87.57463074,
3140,100.1709595,3033.280029,87.58837891,
3139,100.2053528,3031.613037,87.59148407,
3138,100.261055,3029.946045,87.59444427,
3137,100.2556,3028.279053,87.56895447,
3136,100.2218857,3026.612061,87.58568573,
3135,100.1970444,3024.945068,87.55188751,
3134,100.2247238,3023.278076,87.55504608,
3133,100.1861725,3021.611084,87.55080414,
3132,100.16922,3019.944092,87.54761505,
3131,100.2180252,3018.2771,87.51200867,
3130,100.2568588,3016.610107,87.54417419,
3129,100.2314682,3014.942871,87.52383423,
3128,100.1905823,3013.275879,87.49919891,
3127,100.2302551,3011.608887,87.50321198,
3126,100.2783432,3009.941895,87.50262451,
3125,100.2186737,3008.274902,87.49693298,
3124,100.2176895,3006.60791,87.49152374,
3123,100.2191925,3004.940918,87.4969101,
3122,100.2456436,3003.273926,87.4865799,
3121,100.2559433,3001.606934,87.49610901,
3120,100.2215271,2999.939941,87.48432159,
3119,100.2403107,2998.272949,87.48290253,
3118,100.2217407,2996.605957,87.48590088,
3117,100.2364426,2994.938965,87.47421265,
3116,100.2528076,2993.271973,87.48661041,
3115,100.2198563,2991.60498,87.47034454,
3114,100.2003174,2989.937988,87.49014282,
3113,100.2294159,2988.270996,87.4671936,
3112,100.2117538,2986.604004,87.48715973,
3111,100.2414017,2984.937012,87.48500824,
3110,100.2678528,2983.27002,87.4786911,
3109,100.2040253,2981.603027,87.48867798,
3108,100.2049408,2979.936035,87.4825058,
3107,100.2784576,2978.269043,87.4892807,
3106,100.2929535,2976.602051,87.47994232,
3105,100.2602005,2974.935059,87.48113251,
3104,100.2448349,2973.268066,87.48136139,
3103,100.2472992,2971.601074,87.52133942,
3102,100.2602234,2969.934082,87.49723816,
3101,100.2886505,2968.26709,87.50862885,
3100,100.2686386,2966.600098,87.51004791,
3099,100.2594376,2964.933105,87.51167297,
3098,100.305954,2963.265869,87.52466583,
3097,100.3014526,2961.598877,87.52622986,
3096,100.3029556,2959.931885,87.52529907,
3095,100.3278503,2958.264893,87.52475739,
3094,100.3471527,2956.5979,87.54175568,
3093,100.2915878,2954.930908,87.53520966,
3092,100.3330002,2953.263916,87.56177521,
3091,100.3536072,2951.596924,87.5353775,
3090,100.3646011,2949.929932,87.54808044,
